"Status","Name","Duration in ms","Description"
"passed","Testing the SIGN UP PAGE for the Time Management System sign up with all required fields randomly generated.I clear the sign up username input field","49",""
"passed","Testing the SIGN UP PAGE for the Time Management System sign up with all required fields randomly generated.I clear the sign up working hours input field","45",""
"passed","Testing the LOGIN PAGE for the Time Management System log in with fake credentials log in with incomplete information.I am at the sign in page","53",""
"passed","Testing the TASK PAGE for the Time Management System create a new task to validate the correct RED background color removing the register afterwards create a new task to validate the correct GREEN background color removing the register afterwards check the filter by date functionality.A new task is added to the tasks panel","1573",""
"passed","Testing the SIGN UP PAGE for the Time Management System sign up with all required fields randomly generated.I am redirected to the tasks page","1098",""
"passed","Testing the TASK PAGE for the Time Management System create a new task to validate the correct RED background color removing the register afterwards.I click the export button","3090",""
"passed","Testing the SIGN UP PAGE for the Time Management System sign up with all required fields randomly generated.I add the generated password number to the sign up password confirmation input field","80",""
"passed","Testing the SIGN UP PAGE for the Time Management System sign up with all required fields randomly generated.I open the home page url ""http://vcosta.com.br:8001""","2694",""
"skipped","Testing the TASK PAGE for the Time Management System create a new task to validate the correct RED background color removing the register afterwards create a new task to validate the correct GREEN background color removing the register afterwards.I click on the sign out button","3",""
"passed","Testing the PROFILE PAGE for the Time Management System updating a user profile through the profile page.I am at the profile page","113",""
"passed","Testing the TASK PAGE for the Time Management System create a new task to validate the correct RED background color removing the register afterwards create a new task to validate the correct GREEN background color removing the register afterwards check the filter by date functionality.I am on the tasks page","17",""
"passed","Testing the TASK PAGE for the Time Management System create a new task to validate the correct RED background color removing the register afterwards create a new task to validate the correct GREEN background color removing the register afterwards check the filter by date functionality exporting tasks and checking the report.I add ""The color of this register should be RED"" to the note text area field","229",""
"passed","Testing the TASK PAGE for the Time Management System create a new task to validate the correct RED background color removing the register afterwards create a new task to validate the correct GREEN background color removing the register afterwards.I am not logged","23",""
"passed","Testing the LOGIN PAGE for the Time Management System log in with fake credentials log in with incomplete information the navbar cannot appear on the login page.I add ""foo"" to the username input field","75",""
"passed","Testing the PROFILE PAGE for the Time Management System updating a user profile through the profile page check if the user was correct updated.I am at the profile page","152",""
"passed","Testing the TASK PAGE for the Time Management System create a new task to validate the correct RED background color removing the register afterwards create a new task to validate the correct GREEN background color removing the register afterwards check the filter by date functionality.I choose todays date in the when input field","2603",""
"failed","Testing the TASK PAGE for the Time Management System create a new task to validate the correct RED background color removing the register afterwards create a new task to validate the correct GREEN background color removing the register afterwards check the filter by date functionality.This task must have a background color ""#3c763d""","4218",""
"passed","Testing the TASK PAGE for the Time Management System create a new task to validate the correct RED background color removing the register afterwards create a new task to validate the correct GREEN background color removing the register afterwards check the filter by date functionality exporting tasks and checking the report.I log in as the user ""admin""","12039",""
"passed","Testing the TASK PAGE for the Time Management System create a new task to validate the correct RED background color removing the register afterwards create a new task to validate the correct GREEN background color removing the register afterwards check the filter by date functionality exporting tasks and checking the report.I click on the sign out button","92",""
